2025-09-28 13:40:19,567 - INFO - 1
2025-09-28 13:40:25,545 - INFO - 37.666667
2025-09-28 13:40:27,196 - INFO - 34
2025-09-28 13:40:28,384 - INFO - 67
2025-09-28 13:40:29,973 - INFO - 12
2025-09-28 13:40:31,149 - INFO - 55
2025-09-28 13:40:32,274 - INFO - 510.888889
2025-09-28 13:40:40,078 - INFO - Полученная строка уравнений: x+y=7
2025-09-28 13:40:40,078 - INFO - Разбито на уравнения: ['x+y=7']
2025-09-28 13:40:40,078 - INFO - Преобразование уравнения: x+y=7
2025-09-28 13:40:40,235 - INFO - Добавлено уравнение: Eq(x + y, 7)
2025-09-28 13:40:40,235 - INFO - Переменные, задействованные в уравнениях: {y, x}
2025-09-28 13:40:40,235 - INFO - Количество уравнений меньше количества переменных, система недоопределена.
2025-09-28 13:40:41,262 - INFO - Выбор пользователя: да, строить график.
2025-09-28 13:40:47,394 - DEBUG - Loaded backend qtagg version 6.9.1.
2025-09-28 13:40:47,719 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\KozGoPr6N-ExtraLight.otf', name='Kozuka Gothic Pr6N', style='normal', variant='normal', weight=250, stretch='normal', size='scalable')) = 10.1925
2025-09-28 13:40:47,719 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ebrimabd.ttf', name='Ebrima', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-09-28 13:40:47,719 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\Guitar Pro 5.ttf', name='Guitar Pro 5', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,720 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\javatext.ttf', name='Javanese Text', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,720 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\calibrib.ttf', name='Calibri', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-09-28 13:40:47,720 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\himalaya.ttf', name='Microsoft Himalaya', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,720 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\KozGoPro-Heavy.otf', name='Kozuka Gothic Pro', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2025-09-28 13:40:47,720 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\AdobeDevanagari-Bold.otf', name='Adobe Devanagari', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-09-28 13:40:47,720 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\AGaramondPro-Regular.otf', name='Adobe Garamond Pro', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,720 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\seguisbi.ttf', name='Segoe UI', style='italic', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.24
2025-09-28 13:40:47,720 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\MyriadArabic-Bold.otf', name='Myriad Arabic', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-09-28 13:40:47,721 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\MinionPro-MediumIt.otf', name='Minion Pro', style='italic', variant='normal', weight=500, stretch='normal', size='scalable')) = 11.145
2025-09-28 13:40:47,721 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\AdobeDevanagari-BoldItalic.otf', name='Adobe Devanagari', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-09-28 13:40:47,721 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\gadugi.ttf', name='Gadugi', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,721 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\NuevaStd-BoldCond.otf', name='Nueva Std', style='normal', variant='normal', weight=700, stretch='condensed', size='scalable')) = 10.535
2025-09-28 13:40:47,721 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\pala.ttf', name='Palatino Linotype', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,721 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\seguibl.ttf', name='Segoe UI', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2025-09-28 13:40:47,722 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\GOTHIC.TTF', name='Century Gothic', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,722 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\arialbi.ttf', name='Arial', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 7.698636363636363
2025-09-28 13:40:47,722 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\msyhl.ttc', name='Microsoft YaHei', style='normal', variant='normal', weight=290, stretch='normal', size='scalable')) = 10.1545
2025-09-28 13:40:47,722 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\trebucbd.ttf', name='Trebuchet MS', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-09-28 13:40:47,722 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\calibri.ttf', name='Calibri', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,722 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ARIALNBI.TTF', name='Arial', style='italic', variant='normal', weight=700, stretch='condensed', size='scalable')) = 7.8986363636363635
2025-09-28 13:40:47,722 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ChaparralPro-Italic.otf', name='Chaparral Pro', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-09-28 13:40:47,722 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\TektonPro-Bold.otf', name='Tekton Pro', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-09-28 13:40:47,723 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ntailub.ttf', name='Microsoft New Tai Lue', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-09-28 13:40:47,723 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\segoeuil.ttf', name='Segoe UI', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2025-09-28 13:40:47,723 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ARIALN.TTF', name='Arial', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 6.613636363636363
2025-09-28 13:40:47,723 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\AGaramondPro-BoldItalic.otf', name='Adobe Garamond Pro', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-09-28 13:40:47,723 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\KozGoPro-Regular.otf', name='Kozuka Gothic Pro', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,723 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\cambriaz.ttf', name='Cambria', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-09-28 13:40:47,723 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\OCRAStd.otf', name='OCR A Std', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,723 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\MinionPro-SemiboldIt.otf', name='Minion Pro', style='italic', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.24
2025-09-28 13:40:47,724 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\GOST_B.TTF', name='GOST type B', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,724 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\lucon.ttf', name='Lucida Console', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,724 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\HoboStd.otf', name='Hobo Std', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2025-09-28 13:40:47,724 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\MyriadPro-Bold.otf', name='Myriad Pro', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-09-28 13:40:47,724 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\AdobeHeitiStd-Regular.otf', name='Adobe Heiti Std', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,724 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\MyriadArabic-BoldIt.otf', name='Myriad Arabic', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-09-28 13:40:47,724 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\seguiemj.ttf', name='Segoe UI Emoji', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,724 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ChaparralPro-Regular.otf', name='Chaparral Pro', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
